"age"	"attitude"	"points"	"gender"	"deep"	"stra"	"surf"
"89"	21	33	18	"F"	4.25	2.25	2.625
"90"	30	30	19	"F"	4	2.75	3.375
"91"	21	29	21	"F"	4.125	3.91666666666667	2.25
"92"	23	33	24	"M"	3.75	2.33333333333333	3
"93"	21	33	28	"F"	3.875	2.75	4
"94"	21	35	17	"F"	4	2.75	3.5
"95"	20	36	18	"F"	3.5	2.91666666666667	2.625
"96"	22	37	17	"M"	4.375	2.08333333333333	2.5
"97"	21	42	23	"M"	3.875	3.66666666666667	3.75
"98"	21	32	26	"M"	4.375	2.83333333333333	3.625
"99"	20	50	28	"F"	4.25	3.41666666666667	4.125
"100"	22	47	31	"M"	3.875	1.58333333333333	4.375
"101"	20	36	27	"F"	4.625	2.91666666666667	2.625
"102"	20	36	25	"F"	3.875	3	4
"103"	24	29	23	"M"	4	2.91666666666667	2.75
"104"	20	35	21	"F"	4.125	2.66666666666667	2.75
"105"	19	40	27	"F"	2.5	3	1.375
"106"	21	35	28	"F"	3.75	2.75	2.25
"107"	21	32	23	"F"	3.25	3.08333333333333	3.625
"108"	22	26	21	"F"	4.25	2.5	3.75
"109"	25	20	25	"F"	3.25	2.33333333333333	4
"110"	21	27	11	"F"	3.25	3	3.125
"111"	22	32	19	"F"	4.25	3	3.25
"112"	25	33	24	"F"	2.375	4	2.125
"113"	20	39	28	"F"	3.5	3.25	2.875
"114"	24	33	21	"M"	3	3.5	1.5
"115"	20	30	24	"F"	2.875	3.5	2.5
"116"	21	37	24	"M"	3.25	3.83333333333333	3.25
"117"	20	25	20	"F"	4	2.91666666666667	3.625
"118"	20	29	19	"F"	3.75	2.16666666666667	3.875
"119"	31	39	30	"M"	4.375	1.66666666666667	3.875
"120"	20	36	22	"F"	4.5	2.08333333333333	2.375
"121"	22	29	16	"F"	3.875	2.83333333333333	3
"122"	22	21	16	"F"	3.375	3.41666666666667	3.375
"123"	21	31	19	"M"	3.5	3.33333333333333	2.75
"124"	22	40	30	"M"	3.5	2.58333333333333	4.5
"125"	21	31	23	"F"	4.5	2.83333333333333	2.625
"126"	21	23	19	"F"	4.375	3.33333333333333	2.75
"127"	21	28	18	"F"	4.125	3	3.25
"128"	21	37	28	"F"	4.375	2.58333333333333	4.125
"129"	20	26	21	"F"	3.5	2.41666666666667	3.375
"130"	21	24	19	"F"	4	3.58333333333333	2.75
"131"	25	30	27	"F"	3.875	2.08333333333333	4.125
"132"	21	28	24	"M"	2.125	4.33333333333333	3.25
"133"	24	29	21	"F"	4.375	2.66666666666667	2.875
"134"	20	24	20	"F"	4	3	2.875
"135"	21	31	28	"M"	4.125	2.66666666666667	2.375
"136"	20	19	12	"F"	3.75	2.16666666666667	3.875
"137"	20	20	21	"F"	3.875	2.66666666666667	2.125
"138"	18	38	28	"F"	3.5	2.25	4
"139"	21	34	31	"F"	3.75	2.66666666666667	3.25
"140"	19	37	18	"F"	3.5	3.33333333333333	2.625
"141"	21	29	25	"F"	4.875	3.5	2.75
"142"	20	23	19	"F"	3.125	2.75	4
"143"	21	41	21	"M"	4.375	2	3
"144"	20	27	16	"F"	3.375	2.83333333333333	3.375
"145"	21	35	7	"F"	4	3.5	3.875
"146"	20	34	21	"F"	3.625	2.5	3.25
"147"	18	32	17	"F"	4.75	3.16666666666667	3.375
"148"	22	33	22	"M"	3.5	3.08333333333333	4.125
"149"	22	33	18	"F"	3.75	2.91666666666667	3.5
"150"	24	35	25	"M"	2.5	3.16666666666667	2
"151"	19	32	24	"F"	4.25	2.5	3.625
"152"	20	31	23	"F"	3.375	3.83333333333333	3.375
"153"	20	28	23	"F"	4.375	2.25	2.125
"154"	17	17	26	"F"	4.25	3.41666666666667	4.625
"155"	19	19	12	"M"	2.75	3.75	2.5
"156"	20	35	32	"F"	3	3	2.875
"157"	20	24	22	"F"	4	2.58333333333333	2.75
"158"	20	21	20	"F"	4.5	3.33333333333333	4
"159"	20	29	21	"F"	4.375	2.83333333333333	2.375
"160"	19	19	23	"F"	3.125	3	3.875
"161"	19	20	20	"F"	4.25	2.83333333333333	3.375
"162"	22	42	28	"F"	2.875	3.16666666666667	1.75
"163"	35	41	31	"M"	4	2.75	3
"164"	18	37	18	"F"	3.25	3.41666666666667	2.625
"165"	19	36	30	"F"	3.625	3	2.625
"166"	21	18	19	"M"	3.875	2.66666666666667	3.375
